id,slug,name,product_image,small_description,quantity,description,original_price,selling_price,status,trending,tag,meta_title,meta_keywords,meta_description,created_at,Category_id
348,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,Individual,1st owner,35700,,50000,50000,0,,,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,,,
349,Bajaj Avenger Street 220,Bajaj Avenger Street 220,Individual,1st owner,70000,84042,60000,60000,0,,,Bajaj Avenger Street 220,Bajaj Avenger Street 220,,,
350,Hero Honda Splendor Plus,Hero Honda Splendor Plus,Individual,1st owner,29000,95955,15000,15000,0,,,Hero Honda Splendor Plus,Hero Honda Splendor Plus,,,
351,Bajaj Platina 100,Bajaj Platina 100,Individual,1st owner,14500,,30000,30000,0,,,Bajaj Platina 100,Bajaj Platina 100,,,
352,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,Individual,1st owner,37000,,160000,160000,0,,,Royal Enfield Thunderbird 350X,Royal Enfield Thunderbird 350X,,,
353,Honda CB Unicorn 150,Honda CB Unicorn 150,Individual,1st owner,3246,,50000,50000,0,,,Honda CB Unicorn 150,Honda CB Unicorn 150,,,
354,Suzuki Gixxer [2014-2018],Suzuki Gixxer [2014-2018],Individual,1st owner,27000,74295,62000,62000,0,,,Suzuki Gixxer [2014-2018],Suzuki Gixxer [2014-2018],,,
355,Bajaj Platina 100,Bajaj Platina 100,Individual,1st owner,15000,78316,45000,45000,0,,,Bajaj Platina 100,Bajaj Platina 100,,,
356,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,15000,,120000,120000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
357,Royal Enfield Thunderbird 500,Royal Enfield Thunderbird 500,Individual,1st owner,4050,,125000,125000,0,,,Royal Enfield Thunderbird 500,Royal Enfield Thunderbird 500,,,
358,Bajaj Pulsar AS150,Bajaj Pulsar AS150,Individual,1st owner,25000,190874,50000,50000,0,,,Bajaj Pulsar AS150,Bajaj Pulsar AS150,,,
359,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,5000,80821,30000,30000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
360,Hero Pleasure,Hero Pleasure,Individual,2nd owner,5000,,40000,40000,0,,,Hero Pleasure,Hero Pleasure,,,
361,Honda Aviator,Honda Aviator,Individual,1st owner,14000,51600,41000,41000,0,,,Honda Aviator,Honda Aviator,,,
362,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,36500,63537,120000,120000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
363,Hero Ignitor,Hero Ignitor,Individual,2nd owner,9000,,35000,35000,0,,,Hero Ignitor,Hero Ignitor,,,
364,Hero Honda CD100SS,Hero Honda CD100SS,Individual,1st owner,33200,67722,10000,10000,0,,,Hero Honda CD100SS,Hero Honda CD100SS,,,
365,TVS Apache RTR 160,TVS Apache RTR 160,Individual,1st owner,646000,,35000,35000,0,,,TVS Apache RTR 160,TVS Apache RTR 160,,,
366,Hero Achiever 150,Hero Achiever 150,Individual,1st owner,25000,,38000,38000,0,,,Hero Achiever 150,Hero Achiever 150,,,
367,Vespa LX 125,Vespa LX 125,Individual,1st owner,26000,69750,50000,50000,0,,,Vespa LX 125,Vespa LX 125,,,
368,Honda Activa 3G,Honda Activa 3G,Individual,1st owner,3909,77900,40000,40000,0,,,Honda Activa 3G,Honda Activa 3G,,,
369,Hero Splendor Plus i3s,Hero Splendor Plus i3s,Individual,1st owner,7672,54605,70000,70000,0,,,Hero Splendor Plus i3s,Hero Splendor Plus i3s,,,
370,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,1st owner,3000,55600,140000,140000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
371,Hero Maestro,Hero Maestro,Individual,1st owner,3654,,26500,26500,0,,,Hero Maestro,Hero Maestro,,,
372,Hero Glamour 125,Hero Glamour 125,Individual,2nd owner,40000,53830,38000,38000,0,,,Hero Glamour 125,Hero Glamour 125,,,
373,Yamaha FZ16,Yamaha FZ16,Dealer,1st owner,5500,61600,60000,60000,0,,,Yamaha FZ16,Yamaha FZ16,,,
374,Royal Enfield Himalayan,Royal Enfield Himalayan,Individual,1st owner,29950,78712,145000,145000,0,,,Royal Enfield Himalayan,Royal Enfield Himalayan,,,
375,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,Individual,1st owner,14000,,78000,78000,0,,,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,,,
376,Hero Maestro Edge,Hero Maestro Edge,Individual,1st owner,26100,84480,58000,58000,0,,,Hero Maestro Edge,Hero Maestro Edge,,,
377,Yamaha FZ25,Yamaha FZ25,Individual,1st owner,6000,54580,130000,130000,0,,,Yamaha FZ25,Yamaha FZ25,,,
378,TVS Victor,TVS Victor,Individual,1st owner,4000,132680,20000,20000,0,,,TVS Victor,TVS Victor,,,
379,Bajaj Dominar 400 [2018],Bajaj Dominar 400 [2018],Individual,1st owner,50000,54852,150000,150000,0,,,Bajaj Dominar 400 [2018],Bajaj Dominar 400 [2018],,,
380,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,1st owner,5475,163331,32000,32000,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
381,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,1st owner,40000,85011,50000,50000,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
382,KTM 200 Duke,KTM 200 Duke,Individual,1st owner,20500,85011,120000,120000,0,,,KTM 200 Duke,KTM 200 Duke,,,
383,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],Individual,1st owner,4100,,60000,60000,0,,,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],,,
384,Bajaj Discover 100 M,Bajaj Discover 100 M,Individual,2nd owner,23097,80435,20000,20000,0,,,Bajaj Discover 100 M,Bajaj Discover 100 M,,,
385,Royal Enfield Bullet 350 [2007-2011],Royal Enfield Bullet 350 [2007-2011],Individual,1st owner,37734,44756,65000,65000,0,,,Royal Enfield Bullet 350 [2007-2011],Royal Enfield Bullet 350 [2007-2011],,,
386,Yamaha YZF R15 S,Yamaha YZF R15 S,Individual,2nd owner,65000,,70000,70000,0,,,Yamaha YZF R15 S,Yamaha YZF R15 S,,,
387,Yamaha FZ V 2.0,Yamaha FZ V 2.0,Individual,1st owner,8000,117926,35000,35000,0,,,Yamaha FZ V 2.0,Yamaha FZ V 2.0,,,
388,Bajaj Avenger Street 220,Bajaj Avenger Street 220,Individual,1st owner,13500,81508,95000,95000,0,,,Bajaj Avenger Street 220,Bajaj Avenger Street 220,,,
389,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,23000,95955,8000,8000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
390,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,58000,,85000,85000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
391,Hero Achiever 150,Hero Achiever 150,Individual,1st owner,15000,,65000,65000,0,,,Hero Achiever 150,Hero Achiever 150,,,
392,Hero Passion Pro 110,Hero Passion Pro 110,Individual,1st owner,29000,69750,39000,39000,0,,,Hero Passion Pro 110,Hero Passion Pro 110,,,
393,Hero Duet,Hero Duet,Individual,1st owner,20000,,45000,45000,0,,,Hero Duet,Hero Duet,,,
394,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],Individual,1st owner,35000,50280,60000,60000,0,,,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],,,
395,Royal Enfield Classic Stealth Black,Royal Enfield Classic Stealth Black,Individual,1st owner,45137,80435,160000,160000,0,,,Royal Enfield Classic Stealth Black,Royal Enfield Classic Stealth Black,,,
396,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,7500,204977,35000,35000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
397,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,Individual,1st owner,35600,,40000,40000,0,,,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,,,
398,Yamaha Fazer [2009-2016],Yamaha Fazer [2009-2016],Individual,1st owner,15000,64589,40000,40000,0,,,Yamaha Fazer [2009-2016],Yamaha Fazer [2009-2016],,,
399,Honda CB Hornet 160R,Honda CB Hornet 160R,Individual,1st owner,7353,84751,56000,56000,0,,,Honda CB Hornet 160R,Honda CB Hornet 160R,,,
400,Honda CB Unicorn Dazzler,Honda CB Unicorn Dazzler,Individual,2nd owner,13200,87543,22000,22000,0,,,Honda CB Unicorn Dazzler,Honda CB Unicorn Dazzler,,,
401,Yamaha YBR 125,Yamaha YBR 125,Individual,1st owner,38350,71757,36000,36000,0,,,Yamaha YBR 125,Yamaha YBR 125,,,
402,Suzuki Intruder 150 Fi,Suzuki Intruder 150 Fi,Individual,1st owner,20400,54593,100000,100000,0,,,Suzuki Intruder 150 Fi,Suzuki Intruder 150 Fi,,,
403,Bajaj V15,Bajaj V15,Individual,1st owner,14500,110240,42000,42000,0,,,Bajaj V15,Bajaj V15,,,
404,Royal Enfield Electra 5 S,Royal Enfield Electra 5 S,Individual,1st owner,19500,67187,85000,85000,0,,,Royal Enfield Electra 5 S,Royal Enfield Electra 5 S,,,
405,Hero Passion PRO TR,Hero Passion PRO TR,Individual,1st owner,20000,,45000,45000,0,,,Hero Passion PRO TR,Hero Passion PRO TR,,,
406,Yamaha FZ25,Yamaha FZ25,Individual,1st owner,36000,54586,145000,145000,0,,,Yamaha FZ25,Yamaha FZ25,,,
407,Hero Karizma [2003-2014],Hero Karizma [2003-2014],Individual,1st owner,4500,133680,50000,50000,0,,,Hero Karizma [2003-2014],Hero Karizma [2003-2014],,,
408,Royal Enfield Interceptor 650,Royal Enfield Interceptor 650,Individual,1st owner,38000,85766,270000,270000,0,,,Royal Enfield Interceptor 650,Royal Enfield Interceptor 650,,,
409,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,9000,,60000,60000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
410,Royal Enfield Classic Squadron Blue,Royal Enfield Classic Squadron Blue,Individual,1st owner,40000,,140000,140000,0,,,Royal Enfield Classic Squadron Blue,Royal Enfield Classic Squadron Blue,,,
411,Hero Honda Splendor Plus,Hero Honda Splendor Plus,Individual,1st owner,25000,181445,28000,28000,0,,,Hero Honda Splendor Plus,Hero Honda Splendor Plus,,,
412,KTM 390 Duke ABS [2013-2016],KTM 390 Duke ABS [2013-2016],Individual,1st owner,70889,,180000,180000,0,,,KTM 390 Duke ABS [2013-2016],KTM 390 Duke ABS [2013-2016],,,
413,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,2nd owner,13125,202127,42000,42000,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
414,Suzuki Access 125 [2007-2016],Suzuki Access 125 [2007-2016],Individual,2nd owner,19600,85011,16000,16000,0,,,Suzuki Access 125 [2007-2016],Suzuki Access 125 [2007-2016],,,
415,Hero Splendor iSmart,Hero Splendor iSmart,Individual,1st owner,40000,58314,40000,40000,0,,,Hero Splendor iSmart,Hero Splendor iSmart,,,
416,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,1st owner,19055,52271,38000,38000,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
417,Yamaha YZF R15 S,Yamaha YZF R15 S,Individual,2nd owner,57000,85011,85000,85000,0,,,Yamaha YZF R15 S,Yamaha YZF R15 S,,,
418,Honda Aviator,Honda Aviator,Individual,1st owner,13000,117926,28000,28000,0,,,Honda Aviator,Honda Aviator,,,
419,KTM 200 Duke,KTM 200 Duke,Individual,1st owner,28087,63537,135000,135000,0,,,KTM 200 Duke,KTM 200 Duke,,,
420,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,Individual,1st owner,24000,,120000,120000,0,,,Royal Enfield Thunderbird 350,Royal Enfield Thunderbird 350,,,
421,Hero Karizma ZMR,Hero Karizma ZMR,Individual,1st owner,24600,,37000,37000,0,,,Hero Karizma ZMR,Hero Karizma ZMR,,,
422,Royal Enfield Classic Chrome,Royal Enfield Classic Chrome,Individual,1st owner,27500,108000,135000,135000,0,,,Royal Enfield Classic Chrome,Royal Enfield Classic Chrome,,,
423,Hero Honda Splendor,Hero Honda Splendor,Individual,1st owner,45000,189313,10000,10000,0,,,Hero Honda Splendor,Hero Honda Splendor,,,
424,Mahindra Rodeo,Mahindra Rodeo,Individual,1st owner,61000,,20000,20000,0,,,Mahindra Rodeo,Mahindra Rodeo,,,
425,TVS Apache RTR 160,TVS Apache RTR 160,Individual,1st owner,7000,47343,83299,83299,0,,,TVS Apache RTR 160,TVS Apache RTR 160,,,
426,Yamaha Fazer FI V 2.0 [2016-2018],Yamaha Fazer FI V 2.0 [2016-2018],Individual,1st owner,6400,,65000,65000,0,,,Yamaha Fazer FI V 2.0 [2016-2018],Yamaha Fazer FI V 2.0 [2016-2018],,,
427,Honda Activa 5G,Honda Activa 5G,Individual,1st owner,3500,89643,50000,50000,0,,,Honda Activa 5G,Honda Activa 5G,,,
428,Bajaj Pulsar 220 Fi,Bajaj Pulsar 220 Fi,Individual,1st owner,14000,59422,65000,65000,0,,,Bajaj Pulsar 220 Fi,Bajaj Pulsar 220 Fi,,,
429,Hero Honda Karizma ZMR [2010],Hero Honda Karizma ZMR [2010],Individual,1st owner,6409,,45000,45000,0,,,Hero Honda Karizma ZMR [2010],Hero Honda Karizma ZMR [2010],,,
430,Honda CB Hornet 160R,Honda CB Hornet 160R,Individual,3rd owner,44000,,60000,60000,0,,,Honda CB Hornet 160R,Honda CB Hornet 160R,,,
431,Royal Enfield Bullet 350,Royal Enfield Bullet 350,Individual,1st owner,16500,92210,110000,110000,0,,,Royal Enfield Bullet 350,Royal Enfield Bullet 350,,,
432,Hero Honda CD Deluxe,Hero Honda CD Deluxe,Individual,1st owner,36000,,14700,14700,0,,,Hero Honda CD Deluxe,Hero Honda CD Deluxe,,,
433,Yamaha Saluto,Yamaha Saluto,Individual,2nd owner,30000,,38000,38000,0,,,Yamaha Saluto,Yamaha Saluto,,,
434,Suzuki Access 125,Suzuki Access 125,Individual,1st owner,15000,63180,70000,70000,0,,,Suzuki Access 125,Suzuki Access 125,,,
435,TVS Sport,TVS Sport,Individual,1st owner,14500,,35000,35000,0,,,TVS Sport,TVS Sport,,,
436,Hero Honda Glamour,Hero Honda Glamour,Individual,1st owner,26600,,19000,19000,0,,,Hero Honda Glamour,Hero Honda Glamour,,,
437,KTM 125 Duke,KTM 125 Duke,Individual,1st owner,32000,,130000,130000,0,,,KTM 125 Duke,KTM 125 Duke,,,
438,Bajaj Pulsar NS200,Bajaj Pulsar NS200,Individual,1st owner,3500,,50000,50000,0,,,Bajaj Pulsar NS200,Bajaj Pulsar NS200,,,
439,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],Dealer,1st owner,58203,,18000,18000,0,,,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],,,
440,Hero Xtreme 200R,Hero Xtreme 200R,Individual,1st owner,21885,,87000,87000,0,,,Hero Xtreme 200R,Hero Xtreme 200R,,,
441,Hero Honda Splendor Plus,Hero Honda Splendor Plus,Individual,1st owner,3200,93400,40000,40000,0,,,Hero Honda Splendor Plus,Hero Honda Splendor Plus,,,
442,Bajaj Discover 150S,Bajaj Discover 150S,Individual,1st owner,40000,,35000,35000,0,,,Bajaj Discover 150S,Bajaj Discover 150S,,,
443,Honda CBR-250R,Honda CBR-250R,Individual,1st owner,28000,63331,100000,100000,0,,,Honda CBR-250R,Honda CBR-250R,,,
444,Hero Pleasure,Hero Pleasure,Individual,2nd owner,3500,171646,30000,30000,0,,,Hero Pleasure,Hero Pleasure,,,
445,Bajaj Avenger Cruise 220,Bajaj Avenger Cruise 220,Individual,1st owner,24000,51600,95000,95000,0,,,Bajaj Avenger Cruise 220,Bajaj Avenger Cruise 220,,,
446,Bajaj Discover 125 ST,Bajaj Discover 125 ST,Individual,1st owner,1800,,25000,25000,0,,,Bajaj Discover 125 ST,Bajaj Discover 125 ST,,,
447,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],Individual,1st owner,76000,58438,26500,26500,0,,,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],,,
448,Bajaj Boxer,Bajaj Boxer,Individual,1st owner,52500,,12000,12000,0,,,Bajaj Boxer,Bajaj Boxer,,,
449,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,17500,,20000,20000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
450,Royal Enfield Classic Signals,Royal Enfield Classic Signals,Individual,1st owner,41000,,195000,195000,0,,,Royal Enfield Classic Signals,Royal Enfield Classic Signals,,,
451,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,1st owner,2845,164095,14900,14900,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
452,Honda Dream Yuga,Honda Dream Yuga,Individual,1st owner,50000,85011,48000,48000,0,,,Honda Dream Yuga,Honda Dream Yuga,,,
453,Yamaha FZ S [2012-2016],Yamaha FZ S [2012-2016],Individual,1st owner,7110,56147,40000,40000,0,,,Yamaha FZ S [2012-2016],Yamaha FZ S [2012-2016],,,
454,Honda CB Unicorn,Honda CB Unicorn,Individual,1st owner,27785,79432,45000,45000,0,,,Honda CB Unicorn,Honda CB Unicorn,,,
455,Honda Shine,Honda Shine,Individual,1st owner,75000,71681,25000,25000,0,,,Honda Shine,Honda Shine,,,
456,Honda Activa 3G,Honda Activa 3G,Individual,1st owner,20000,,25000,25000,0,,,Honda Activa 3G,Honda Activa 3G,,,
457,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,1st owner,20000,54605,10000,10000,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
458,Mahindra Flyte,Mahindra Flyte,Individual,1st owner,60000,50267,22000,22000,0,,,Mahindra Flyte,Mahindra Flyte,,,
459,Honda Activa 3G,Honda Activa 3G,Individual,3rd owner,20000,44493,45000,45000,0,,,Honda Activa 3G,Honda Activa 3G,,,
460,KTM 250 Duke,KTM 250 Duke,Individual,1st owner,18000,54605,135000,135000,0,,,KTM 250 Duke,KTM 250 Duke,,,
461,Yamaha Ray Z,Yamaha Ray Z,Individual,1st owner,16500,,75000,75000,0,,,Yamaha Ray Z,Yamaha Ray Z,,,
462,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,Individual,1st owner,15000,52949,24000,24000,0,,,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,,,
463,Yamaha FZ16,Yamaha FZ16,Individual,1st owner,45000,64589,45000,45000,0,,,Yamaha FZ16,Yamaha FZ16,,,
464,Hero Passion PRO i3s,Hero Passion PRO i3s,Individual,1st owner,37000,78712,55000,55000,0,,,Hero Passion PRO i3s,Hero Passion PRO i3s,,,
465,Bajaj Discover 125,Bajaj Discover 125,Individual,1st owner,14600,54475,10000,10000,0,,,Bajaj Discover 125,Bajaj Discover 125,,,
466,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,1st owner,51000,57549,135000,135000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
467,Honda CB Unicorn 150,Honda CB Unicorn 150,Individual,1st owner,15000,,55000,55000,0,,,Honda CB Unicorn 150,Honda CB Unicorn 150,,,
468,Bajaj Avenger [2015],Bajaj Avenger [2015],Individual,1st owner,12000,74295,35000,35000,0,,,Bajaj Avenger [2015],Bajaj Avenger [2015],,,
469,Bajaj Super,Bajaj Super,Individual,1st owner,15000,75502,20000,20000,0,,,Bajaj Super,Bajaj Super,,,
470,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,21000,,26000,26000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
471,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,2nd owner,65000,,23000,23000,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
472,Royal Enfield Classic Desert Storm,Royal Enfield Classic Desert Storm,Individual,1st owner,95000,50267,150000,150000,0,,,Royal Enfield Classic Desert Storm,Royal Enfield Classic Desert Storm,,,
473,Hero Honda CD Deluxe,Hero Honda CD Deluxe,Individual,1st owner,23000,181445,24700,24700,0,,,Hero Honda CD Deluxe,Hero Honda CD Deluxe,,,
474,Hero Duet,Hero Duet,Individual,2nd owner,40000,,35000,35000,0,,,Hero Duet,Hero Duet,,,
475,Hero Honda Passion PRO [2012],Hero Honda Passion PRO [2012],Individual,2nd owner,49637,54080,12000,12000,0,,,Hero Honda Passion PRO [2012],Hero Honda Passion PRO [2012],,,
476,Royal Enfield Classic 350,Royal Enfield Classic 350,Individual,1st owner,90000,,150000,150000,0,,,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
477,Honda Activa 3G,Honda Activa 3G,Individual,1st owner,7000,,50000,50000,0,,,Honda Activa 3G,Honda Activa 3G,,,
478,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,1st owner,5326,54605,25000,25000,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
479,Hero Honda CD100,Hero Honda CD100,Individual,1st owner,585659,50267,15000,15000,0,,,Hero Honda CD100,Hero Honda CD100,,,
480,Hero Super Splendor,Hero Super Splendor,Dealer,2nd owner,10000,,35000,35000,0,,,Hero Super Splendor,Hero Super Splendor,,,
481,Honda CB Trigger,Honda CB Trigger,Individual,2nd owner,37541,,45000,45000,0,,,Honda CB Trigger,Honda CB Trigger,,,
482,Honda Dream Yuga,Honda Dream Yuga,Individual,1st owner,36000,83437,25000,25000,0,,,Honda Dream Yuga,Honda Dream Yuga,,,
483,Hero Honda Passion Plus,Hero Honda Passion Plus,Individual,1st owner,29000,56147,40000,40000,0,,,Hero Honda Passion Plus,Hero Honda Passion Plus,,,
484,TVS Spectra,TVS Spectra,Individual,1st owner,29000,,17000,17000,0,,,TVS Spectra,TVS Spectra,,,
485,Hero Ignitor,Hero Ignitor,Individual,1st owner,50000,,30000,30000,0,,,Hero Ignitor,Hero Ignitor,,,
486,Hero Honda CD100,Hero Honda CD100,Individual,1st owner,18000,67722,15000,15000,0,,,Hero Honda CD100,Hero Honda CD100,,,
487,Bajaj Pulsar 220F,Bajaj Pulsar 220F,Individual,1st owner,50000,,60000,60000,0,,,Bajaj Pulsar 220F,Bajaj Pulsar 220F,,,
488,Hero Splendor Plus,Hero Splendor Plus,Individual,2nd owner,40000,,30000,30000,0,,,Hero Splendor Plus,Hero Splendor Plus,,,
489,Yamaha YZF R15 [2011-2018],Yamaha YZF R15 [2011-2018],Individual,1st owner,20000,,60000,60000,0,,,Yamaha YZF R15 [2011-2018],Yamaha YZF R15 [2011-2018],,,
490,Honda Activa 3G,Honda Activa 3G,Individual,1st owner,22000,118997,32000,32000,0,,,Honda Activa 3G,Honda Activa 3G,,,
491,Bajaj Discover 150,Bajaj Discover 150,Individual,1st owner,4500,54605,30000,30000,0,,,Bajaj Discover 150,Bajaj Discover 150,,,
492,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],Individual,1st owner,50000,54299,55000,55000,0,,,Bajaj Pulsar 150 [2001-2011],Bajaj Pulsar 150 [2001-2011],,,
493,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],Individual,1st owner,42000,,75000,75000,0,,,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],,,
494,TVS Star City Plus,TVS Star City Plus,Individual,1st owner,35000,80435,52000,52000,0,,,TVS Star City Plus,TVS Star City Plus,,,
495,Bajaj Discover 125,Bajaj Discover 125,Individual,1st owner,25000,,38000,38000,0,,,Bajaj Discover 125,Bajaj Discover 125,,,
496,Bajaj Discover 135,Bajaj Discover 135,Individual,1st owner,34000,60122,12000,12000,0,,,Bajaj Discover 135,Bajaj Discover 135,,,
497,Honda CB Shine SP,Honda CB Shine SP,Individual,1st owner,60000,,47000,47000,0,,,Honda CB Shine SP,Honda CB Shine SP,,,
498,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,1st owner,73000,64750,22000,22000,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
499,Bajaj Avenger [2015],Bajaj Avenger [2015],Individual,1st owner,38000,50267,65000,65000,0,,,Bajaj Avenger [2015],Bajaj Avenger [2015],,,
500,Bajaj Platina 100,Bajaj Platina 100,Individual,1st owner,26000,75502,23000,23000,0,,,Bajaj Platina 100,Bajaj Platina 100,,,
501,Bajaj Discover 100,Bajaj Discover 100,Individual,2nd owner,24000,,30000,30000,0,,,Bajaj Discover 100,Bajaj Discover 100,,,
502,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,45000,42859,35000,35000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
503,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],Individual,1st owner,36000,,80000,80000,0,,,Bajaj Avenger Street 150 [2018],Bajaj Avenger Street 150 [2018],,,
504,Bajaj Platina 100,Bajaj Platina 100,Individual,1st owner,30000,80435,20000,20000,0,,,Bajaj Platina 100,Bajaj Platina 100,,,
505,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,1st owner,16295,,16000,16000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
506,Bajaj Pulsar 150,Bajaj Pulsar 150,Individual,2nd owner,59000,,20000,20000,0,,,Bajaj Pulsar 150,Bajaj Pulsar 150,,,
507,Bajaj Pulsar NS200,Bajaj Pulsar NS200,Individual,1st owner,9500,,50000,50000,0,,,Bajaj Pulsar NS200,Bajaj Pulsar NS200,,,
508,Honda CB Trigger,Honda CB Trigger,Individual,1st owner,46000,,40000,40000,0,,,Honda CB Trigger,Honda CB Trigger,,,
509,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,Individual,1st owner,75000,76572,20000,20000,0,,,Bajaj Pulsar 135 LS,Bajaj Pulsar 135 LS,,,
510,Bajaj Pulsar 180,Bajaj Pulsar 180,Individual,1st owner,80000,64589,65000,65000,0,,,Bajaj Pulsar 180,Bajaj Pulsar 180,,,
511,Yamaha YZF R15 S,Yamaha YZF R15 S,Individual,1st owner,26000,85011,85000,85000,0,,,Yamaha YZF R15 S,Yamaha YZF R15 S,,,
512,Hero Splendor Plus,Hero Splendor Plus,Individual,1st owner,26000,117926,12000,12000,0,,,Hero Splendor Plus,Hero Splendor Plus,,,
513,Hero Xpulse 200T,Hero Xpulse 200T,Individual,1st owner,100000,,105000,105000,0,,,Hero Xpulse 200T,Hero Xpulse 200T,,,
514,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,Individual,1st owner,2900,96500,40000,40000,0,,,Yamaha FZ S V 2.0,Yamaha FZ S V 2.0,,,
515,Bajaj Discover 150,Bajaj Discover 150,Individual,1st owner,25000,84042,30000,30000,0,,,Bajaj Discover 150,Bajaj Discover 150,,,
516,Honda Activa [2000-2015],Honda Activa [2000-2015],Individual,2nd owner,39500,54299,25000,25000,0,,,Honda Activa [2000-2015],Honda Activa [2000-2015],,,
517,Hero Splendor PRO,Hero Splendor PRO,Individual,1st owner,40000,50267,40000,40000,0,,,Hero Splendor PRO,Hero Splendor PRO,,,
518,Honda Dream Neo,Honda Dream Neo,Individual,1st owner,16000,51994,45000,45000,0,,,Honda Dream Neo,Honda Dream Neo,,,
519,Bajaj CT 100,Bajaj CT 100,Individual,2nd owner,21000,49211,40000,40000,0,,,Bajaj CT 100,Bajaj CT 100,,,
520,Suzuki Access 125,Suzuki Access 125,Individual,1st owner,14000,,70000,70000,0,,,Suzuki Access 125,Suzuki Access 125,,,
